MSA,metromicro,CVAP20,TOTVOTE20,TURNOUTRATE20,CVAP24,TOTVOTE24,TURNOUTRATE24,TURNOUTRATE2024AVG
"Bozeman, MT",Metropolitan Statistical Area,94645,70988,0.750044905,98215,69897,0.71167337,0.730859137
"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,213455,157634,0.738488206,214895,156872,0.729993718,0.734240962
"Brownsville-Harlingen, TX",Metropolitan Statistical Area,242070,114149,0.471553683,247540,116153,0.469229215,0.470391449
"Brunswick-St. Simons, GA",Metropolitan Statistical Area,87765,56427,0.642932832,88735,59826,0.674209726,0.658571279
"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,901285,577161,0.640375686,895505,558981,0.62420757,0.632291628
"Burlington, NC",Metropolitan Statistical Area,125815,86029,0.683773795,126765,89831,0.708641975,0.696207885
"Burlington-South Burlington, VT",Metropolitan Statistical Area,179140,129088,0.720598415,180630,129073,0.714571223,0.717584819
"Canton-Massillon, OH",Metropolitan Statistical Area,311980,204055,0.654064363,309850,198012,0.639057609,0.646560986
"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,581905,393875,0.676871654,603795,392532,0.650108066,0.66348986
"Cape Girardeau, MO-IL",Metropolitan Statistical Area,75665,48881,0.646018635,75835,48785,0.643304543,0.644661589
"Carson City, NV",Metropolitan Statistical Area,42910,29739,0.693055232,43080,31068,0.721169916,0.707112574
"Casper, WY",Metropolitan Statistical Area,59845,34991,0.584693792,60095,33921,0.564456278,0.574575035
"Cedar Rapids, IA",Metropolitan Statistical Area,207840,152656,0.734488068,209300,148448,0.709259436,0.721873752
"Chambersburg, PA",Metropolitan Statistical Area,119210,80783,0.677652881,119180,83884,0.703842927,0.690747904
"Champaign-Urbana, IL",Metropolitan Statistical Area,174485,111827,0.640897498,170995,105642,0.617807538,0.629352518
"Charleston, WV",Metropolitan Statistical Area,166320,94612,0.568855219,162550,86621,0.532888342,0.55087178
"Charleston-North Charleston, SC",Metropolitan Statistical Area,609565,400573,0.657145669,621035,405119,0.652328774,0.654737222
"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,1903065,1374481,0.722245956,1941405,1429086,0.736109158,0.729177557
"Charlottesville, VA",Metropolitan Statistical Area,170785,124739,0.730386158,171075,128937,0.753686979,0.742036569
"Chattanooga, TN-GA",Metropolitan Statistical Area,433780,260883,0.601417769,436610,271624,0.622120428,0.611769099
"Cheyenne, WY",Metropolitan Statistical Area,75870,44662,0.588664821,76560,43362,0.56637931,0.577522066
"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,6567230,4348125,0.662094216,6492960,4017789,0.618791583,0.6404429
"Chico, CA",Metropolitan Statistical Area,163370,102544,0.627679501,155540,94556,0.607920792,0.617800146
"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,1670205,1149624,0.688313111,1666135,1133355,0.680229993,0.684271552
"Clarksville, TN-KY",Metropolitan Statistical Area,230540,114321,0.495883578,235220,117242,0.498435507,0.497159542
"Cleveland, OH",Metropolitan Statistical Area,1682005,1119341,0.665480186,1670355,1069419,0.640234561,0.652857373
"Cleveland, TN",Metropolitan Statistical Area,96645,54188,0.560691189,97395,57973,0.595235895,0.577963542
"Coeur d'Alene, ID",Metropolitan Statistical Area,132880,89518,0.673675497,139170,96365,0.692426529,0.683051013
"College Station-Bryan, TX",Metropolitan Statistical Area,195445,101653,0.520110517,198885,109488,0.550509088,0.535309803
"Colorado Springs, CO",Metropolitan Statistical Area,559470,395885,0.7076072,571240,397324,0.69554653,0.701576865
"Columbia, MO",Metropolitan Statistical Area,161445,104893,0.649713525,164095,103901,0.633175904,0.641444714
"Columbia, SC",Metropolitan Statistical Area,628140,401667,0.63945458,631670,390990,0.618978264,0.629216422
"Columbus, GA-AL",Metropolitan Statistical Area,242540,132543,0.546478931,242760,134286,0.553163618,0.549821275
"Columbus, IN",Metropolitan Statistical Area,56425,36202,0.641595038,57135,35488,0.621125405,0.631360221
"Columbus, OH",Metropolitan Statistical Area,1556055,1064212,0.6839167,1561305,1047722,0.671055303,0.677486001
"Corpus Christi, TX",Metropolitan Statistical Area,318980,165464,0.518728447,324000,160288,0.494716049,0.506722248
"Corvallis, OR",Metropolitan Statistical Area,75225,52323,0.69555334,76085,50232,0.660208977,0.677881158
"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,216855,160052,0.738059994,221095,163237,0.738311586,0.73818579
"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,4942520,3076527,0.622461214,5132320,3125726,0.609027886,0.61574455
"Dalton, GA",Metropolitan Statistical Area,94780,52143,0.55014771,96960,57300,0.590965347,0.570556529
"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,180460,109345,0.60592375,188870,122249,0.647265315,0.626594533
"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,286860,193602,0.674900648,284670,187029,0.657002845,0.665951747
"Dayton-Kettering-Beavercreek, OH",Metropolitan Statistical Area,619545,414947,0.669760873,618245,404066,0.653569378,0.661665125
"Decatur, AL",Metropolitan Statistical Area,116430,69581,0.597620888,115960,69665,0.600767506,0.599194197
"Decatur, IL",Metropolitan Statistical Area,79015,49387,0.625033222,77105,45341,0.58804228,0.606537751
"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,540020,379109,0.702027703,559710,390466,0.697621983,0.699824843
"Denver-Aurora-Centennial, CO",Metropolitan Statistical Area,2150680,1678157,0.78029135,2183530,1617800,0.740910361,0.760600855
"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,509550,381094,0.747903052,518390,389372,0.751117884,0.749510468
"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,3262950,2408391,0.738102331,3246420,2422398,0.746175171,0.742138751
"Dothan, AL",Metropolitan Statistical Area,115620,67883,0.587121605,115540,66070,0.571836593,0.579479099
"Dover, DE",Metropolitan Statistical Area,136265,87021,0.638615932,139375,88289,0.633463677,0.636039805
"Dubuque, IA",Metropolitan Statistical Area,74915,53831,0.718561036,74385,52770,0.709417221,0.713989129
"Duluth, MN-WI",Metropolitan Statistical Area,224355,164103,0.731443471,224625,165108,0.735038397,0.733240934
"Durham-Chapel Hill, NC",Metropolitan Statistical Area,430630,334049,0.775721617,435890,343056,0.787024249,0.781372933
"Eagle Pass, TX",Metropolitan Statistical Area,31280,15340,0.490409207,30130,15745,0.522568868,0.506489038
"Eau Claire, WI",Metropolitan Statistical Area,134820,94034,0.697478119,136160,101648,0.74653349,0.722005804
